Code du partenaire;Adresse compléte;ID adresse;Rue;Bloquer;Ville;Code postal;Nom
ES914601322;OPTICA ALEJOS   MARQUES DE JURA REAL, 16   Madrid 28019 Spain;OPTICA ALEJOS;  MARQUES DE JURA REAL, 16;;Madrid;28019;Spain
ES914610008;OPTICAS FACTORY GENERAL RICARDOS, 222   Madrid 28025 Spain;OPTICAS FACTORY;GENERAL RICARDOS, 222;;Madrid;28025;Spain
ES914642873;OPTICA DELMAR ANTILLON, 7   Madrid 28011 Spain;OPTICA DELMAR;ANTILLON, 7;;Madrid;28011;Spain
ES914651012;OPTICA CAÑO AV. NTRA. SRA. DE FATIMA,1   Madrid 28047 Spain;OPTICA CAÑO;AV. NTRA. SRA. DE FATIMA,1;;Madrid;28047;Spain
ES914695213;OPTICA OPORTO AVDA. DE OPORTO, 12   Madrid 28019 Spain;OPTICA OPORTO;AVDA. DE OPORTO, 12;;Madrid;28019;Spain
ES914722333;OPTICA GREDOS SAN PATRICIO, 12   Madrid 28019 Spain;OPTICA GREDOS;SAN PATRICIO, 12;;Madrid;28019;Spain
ES914733425;CENTRO OPTICO ARGANZUELA NAVES, 6   Madrid 28005 Spain;CENTRO OPTICO ARGANZUELA;NAVES, 6;;Madrid;28005;Spain
ES914763114;OPTICA USERA  JESUS DEL GRAN PODER,Nº31   Madrid 28026 Spain;OPTICA USERA; JESUS DEL GRAN PODER,Nº31;;Madrid;28026;Spain
ES915055287;OPTICA LOS ROSALES BERROCAL, 11, LOCAL 2   Madrid 28021 Spain;OPTICA LOS ROSALES;BERROCAL, 11, LOCAL 2;;Madrid;28021;Spain
ES915170044;CENTRO OPTICO COLLADO MARTIN VARGAS, 11   Madrid 28005 Spain;CENTRO OPTICO COLLADO;MARTIN VARGAS, 11;;Madrid;28005;Spain
ES915171711;CLUB VISION PASEO DE YESERIAS, 9   Madrid 28005 Spain;CLUB VISION;PASEO DE YESERIAS, 9;;Madrid;28005;Spain
ES915185609;ALBA OPTICA MAQUEDA, 42   Madrid 28024 Spain;ALBA OPTICA;MAQUEDA, 42;;Madrid;28024;Spain
ES915192508;PRIMERA OPTICA MORAN   LOPEZ DE HOYOS, 126   Madrid 28002 Spain;PRIMERA OPTICA MORAN;  LOPEZ DE HOYOS, 126;;Madrid;28002;Spain
ES915250060;OPTICA PEREZ ULLOA GENERAL RICARDOS, 165   Madrid 28025 Spain;OPTICA PEREZ ULLOA;GENERAL RICARDOS, 165;;Madrid;28025;Spain
ES915251211;CENTRO OPTICO JILGUERO CAMINO VIEJO DE LEGANES, 167   Madrid 28025 Spain;CENTRO OPTICO JILGUERO;CAMINO VIEJO DE LEGANES, 167;;Madrid;28025;Spain
ES915261170;CENTRO OPTICO BOREAL CEBREROS, 98   Madrid 28011 Spain;CENTRO OPTICO BOREAL;CEBREROS, 98;;Madrid;28011;Spain
ES915286161;ÓPTICA NÉMESIS   FERROCARRIL, 37   Madrid 28045 Spain;ÓPTICA NÉMESIS;  FERROCARRIL, 37;;Madrid;28045;Spain
ES915436671;CENTRO OPTICO CASTILLO ANDRES MELLADO, 27   Madrid 28015 Spain;CENTRO OPTICO CASTILLO;ANDRES MELLADO, 27;;Madrid;28015;Spain
ES915518470;OPTICA LA PAZ   VALDERRIBAS, 24   Madrid 28007 Spain;OPTICA LA PAZ;  VALDERRIBAS, 24;;Madrid;28007;Spain
ES915519236;OPTICA TELLEZ   TELLEZ, Nº 19   Madrid 28007 Spain;OPTICA TELLEZ;  TELLEZ, Nº 19;;Madrid;28007;Spain
ES915545477;CENTRO GIMENEZ GIL GENERAL MOSCARDO, 32   Madrid 28020 Spain;CENTRO GIMENEZ GIL;GENERAL MOSCARDO, 32;;Madrid;28020;Spain
ES915547996;OPTICA AVANZADA GALILEO, 108   Madrid 28015 Spain;OPTICA AVANZADA;GALILEO, 108;;Madrid;28015;Spain
ES915620407;OPTICA BERLIN CARTAGENA, 121   Madrid 28002 Spain;OPTICA BERLIN;CARTAGENA, 121;;Madrid;28002;Spain
ES915694475;OPTICA CARRERO   CAMINO VIEJO DE LEGANES 115   Madrid 28025 Spain;OPTICA CARRERO;  CAMINO VIEJO DE LEGANES 115;;Madrid;28025;Spain
ES915734393;OPTICA BLANES NARVAEZ, 64   Madrid 28009 Spain;OPTICA BLANES;NARVAEZ, 64;;Madrid;28009;Spain
ES915791436;FARMACIA-OPTICA BRAVO MURILLO, 365   Madrid 28020 Spain;FARMACIA-OPTICA;BRAVO MURILLO, 365;;Madrid;28020;Spain
ES915795248;OPTICA INFANTA MERCEDES INFANTA MERCEDES, 53   Madrid 28020 Spain;OPTICA INFANTA MERCEDES;INFANTA MERCEDES, 53;;Madrid;28020;Spain
ES915931112;C. O. MARTIN ALVELO   SAN BERNARDO, 113   Madrid 28015 Spain;C. O. MARTIN ALVELO;  SAN BERNARDO, 113;;Madrid;28015;Spain
ES916049411;GABINETE OPTICO AROCA AVDA. CAMPO HERMOSO, Nº 13   Madrid 28970 Spain;GABINETE OPTICO AROCA;AVDA. CAMPO HERMOSO, Nº 13;;Madrid;28970;Spain
ES916053321;ONEVISION   PABLO CASALS, S/N CC.MERCA2   Madrid 28981 Spain;ONEVISION;  PABLO CASALS, S/N CC.MERCA2;;Madrid;28981;Spain
ES916081997;OPTICA ROEN AVDA. OBISPO PEREZ CACERES, 3   Sta. Cruz de Tenerife 38500 Spain;OPTICA ROEN;AVDA. OBISPO PEREZ CACERES, 3;;Sta. Cruz de Tenerife;38500;Spain
ES916085830;OPTICA JIMENEZ   SUIZA, 22   Madrid 28943 Spain;OPTICA JIMENEZ;  SUIZA, 22;;Madrid;28943;Spain
ES916109124;CENTRO OPTICO LORCA AVDA. PORTUGAL, 13   Madrid 28921 Spain;CENTRO OPTICO LORCA;AVDA. PORTUGAL, 13;;Madrid;28921;Spain
ES916113029;CENTRO OPTICO EO VISION AVDA. LIBERTAD, 13   Madrid 28917 Spain;CENTRO OPTICO EO VISION;AVDA. LIBERTAD, 13;;Madrid;28917;Spain
ES916125346;DICA OPTICA PORTOCRISTO, 1   Madrid 28924 Spain;DICA OPTICA;PORTOCRISTO, 1;;Madrid;28924;Spain
ES916137399;OPTICA GALEI AVDA DOS DE MAYO 7   Madrid 28934 Spain;OPTICA GALEI;AVDA DOS DE MAYO 7;;Madrid;28934;Spain
ES916157187;DELTA OPTICOS AVDA. DE LAS PROVINCIAS, 29   Madrid 28941 Spain;DELTA OPTICOS;AVDA. DE LAS PROVINCIAS, 29;;Madrid;28941;Spain
ES916189652;OPTICA AZORIN AZORIN, 9   Madrid 28935 Spain;OPTICA AZORIN;AZORIN, 9;;Madrid;28935;Spain
ES916195874;OPTICA GOMEZ COBO PORTOCRISTO, 6   Madrid 28924 Spain;OPTICA GOMEZ COBO;PORTOCRISTO, 6;;Madrid;28924;Spain
ES916200424;GRUPO GALILEO CEUTA PLAZA MAESTRANZA   Ceuta 51001 Spain;GRUPO GALILEO CEUTA;PLAZA MAESTRANZA;;Ceuta;51001;Spain
ES916336697;NATURAOPTICOS AV.INDEPENDENCIA, PORTAL 1   Málaga 29600 Spain;NATURAOPTICOS;AV.INDEPENDENCIA, PORTAL 1;;Málaga;29600;Spain
ES916363214;EURO-OPTICA Mª JOSE RUBIO CONSTITUCION, 4   Madrid 28230 Spain;EURO-OPTICA Mª JOSE RUBIO;CONSTITUCION, 4;;Madrid;28230;Spain
ES916382222;FARMACIA OPTICA FARMA & CO CTRA BOADILLA S/N ESQ  GOLETA   Madrid 28220 Spain;FARMACIA OPTICA FARMA & CO;CTRA BOADILLA S/N ESQ  GOLETA;;Madrid;28220;Spain
ES916382697;OPTICA BILENS AVDA. CLAVELES, 74   Madrid 28221 Spain;OPTICA BILENS;AVDA. CLAVELES, 74;;Madrid;28221;Spain
ES916460923;OPTICA MADRID CAMINO LEGANES, 42   Madrid 28936 Spain;OPTICA MADRID;CAMINO LEGANES, 42;;Madrid;28936;Spain
ES916494952;CENTRO OPTICO EMBAJADORES EMBAJADORES, 181A, LOCAL 5   Madrid 28045 Spain;CENTRO OPTICO EMBAJADORES;EMBAJADORES, 181A, LOCAL 5;;Madrid;28045;Spain
ES916527518;OPTIFATIMA  GOBERNADOR 1   Madrid 28100 Spain;OPTIFATIMA; GOBERNADOR 1;;Madrid;28100;Spain
ES916539116;J.M. GASPAR   REAL, 10   Madrid 28703 Spain;J.M. GASPAR;  REAL, 10;;Madrid;28703;Spain
ES916569938;OPTICA LA ZARZUELA AVDA. CRISTOBAL COLON, Nº10   Madrid 28850 Spain;OPTICA LA ZARZUELA;AVDA. CRISTOBAL COLON, Nº10;;Madrid;28850;Spain
ES916643449;OPTICA PRISMA VISION ALFONSO XII, 35   Madrid 28934 Spain;OPTICA PRISMA VISION;ALFONSO XII, 35;;Madrid;28934;Spain
ES916657829;OPTICA VISION-65 DE LAS ERAS, 65   Madrid 28670 Spain;OPTICA VISION-65;DE LAS ERAS, 65;;Madrid;28670;Spain
ES916667977;CENTRO OPTICO SANTA MONICA ALOE, 14   Madrid 28529 Spain;CENTRO OPTICO SANTA MONICA;ALOE, 14;;Madrid;28529;Spain
ES916710104;CENTRO OPTICO GARRO   MEXICO, 1   Madrid 28822 Spain;CENTRO OPTICO GARRO;  MEXICO, 1;;Madrid;28822;Spain
ES916710842;FARMACIA ANGEL SANCHEZ AV. SAN PABLO 11   Madrid 28823 Spain;FARMACIA ANGEL SANCHEZ;AV. SAN PABLO 11;;Madrid;28823;Spain
ES916712879;OPTICA TITANIUM AVDA. DE ANDALUCIA, 89   Sevilla 41100 Spain;OPTICA TITANIUM;AVDA. DE ANDALUCIA, 89;;Sevilla;41100;Spain
ES916729240;FARM-OPT ORTOP. RAFAEL RIVERO PLAZA DR. MARAÑON, 2   Madrid 28820 Spain;FARM-OPT ORTOP. RAFAEL RIVERO;PLAZA DR. MARAÑON, 2;;Madrid;28820;Spain
ES916804429;LEGAOPTICOS   BUTARQUE, Nº 5   Madrid 28911 Spain;LEGAOPTICOS;  BUTARQUE, Nº 5;;Madrid;28911;Spain
ES916811538;OPTICA GETAFE CATALUÑA, 17 (LOCAL 42)   Madrid 28903 Spain;OPTICA GETAFE;CATALUÑA, 17 (LOCAL 42);;Madrid;28903;Spain
ES916825725;MULTIVISIÓN AVDA. JUAN CARLOS I, S/N   Madrid 28905 Spain;MULTIVISIÓN;AVDA. JUAN CARLOS I, S/N;;Madrid;28905;Spain
ES916834683;OPTICA EL BERCIAL ITALIA, 2   Madrid 28905 Spain;OPTICA EL BERCIAL;ITALIA, 2;;Madrid;28905;Spain
ES916870585;OPTICA LAS ALPUJARRAS ALPUJARRAS, 37   Madrid 28915 Spain;OPTICA LAS ALPUJARRAS;ALPUJARRAS, 37;;Madrid;28915;Spain
ES916876995;AUDIOVISIÓN   BARDENAS, 10   Madrid 28915 Spain;AUDIOVISIÓN;  BARDENAS, 10;;Madrid;28915;Spain
ES916952894;FARM. OPTICA MONTERO ESPINOSA AVDA. ARAGÓN, Nº 32   Madrid 28903 Spain;FARM. OPTICA MONTERO ESPINOSA;AVDA. ARAGÓN, Nº 32;;Madrid;28903;Spain
ES916982542;CENTRO OPTICO ALFONSO CAMPOS ALCORCON, 14 BIS, LOCAL 4   Madrid 28980 Spain;CENTRO OPTICO ALFONSO CAMPOS;ALCORCON, 14 BIS, LOCAL 4;;Madrid;28980;Spain
ES917059614;CENTRO OPTICO SAN IGNACIO OLIVA DE PLASENCIA, 1   Madrid 28044 Spain;CENTRO OPTICO SAN IGNACIO;OLIVA DE PLASENCIA, 1;;Madrid;28044;Spain
ES917109044;CENTRO OPTICO MAREM DOCTOR MARTIN AREVALO, 5   Madrid 28021 Spain;CENTRO OPTICO MAREM;DOCTOR MARTIN AREVALO, 5;;Madrid;28021;Spain
ES917155083;OPTICA-ORTOPEDIA IGMAR SAGUNTO, 20   Madrid 28223 Spain;OPTICA-ORTOPEDIA IGMAR;SAGUNTO, 20;;Madrid;28223;Spain
ES917195084;OPTICA PARAISO VISUAL   OCAÑA, 207  LOCAL 1   Madrid 28047 Spain;OPTICA PARAISO VISUAL;  OCAÑA, 207  LOCAL 1;;Madrid;28047;Spain
ES917251892;MONTESERIN CENTRO OPTICO ALCALA, 209   Madrid 28028 Spain;MONTESERIN CENTRO OPTICO;ALCALA, 209;;Madrid;28028;Spain
ES917334366;CENTRO OPTICO LARRETA ENRIQUE LARRETA, 9   Madrid 28036 Spain;CENTRO OPTICO LARRETA;ENRIQUE LARRETA, 9;;Madrid;28036;Spain
ES917388137;OPTICA SANGENJO SANGENJO, 18 BIS   Madrid 28034 Spain;OPTICA SANGENJO;SANGENJO, 18 BIS;;Madrid;28034;Spain
ES917390221;FARMACIA-OPTICA ARENAS GINZO DE LIMIA, 51   Madrid 28034 Spain;FARMACIA-OPTICA ARENAS;GINZO DE LIMIA, 51;;Madrid;28034;Spain
ES917397640;CENTRO OPTICO DARMA FERMIN CABALLERO, 61   Madrid 28034 Spain;CENTRO OPTICO DARMA;FERMIN CABALLERO, 61;;Madrid;28034;Spain
ES917429285;OPTICA LINCE ALCALA, 433   Madrid 28027 Spain;OPTICA LINCE;ALCALA, 433;;Madrid;28027;Spain
ES917501571;OPTICA PRINCIPE CARLOS PRINCIPE CARLOS, 50   Madrid 28050 Spain;OPTICA PRINCIPE CARLOS;PRINCIPE CARLOS, 50;;Madrid;28050;Spain
ES917545570;ALPO VISION CASTILLO DE SIMANCAS, 18   Madrid 28037 Spain;ALPO VISION;CASTILLO DE SIMANCAS, 18;;Madrid;28037;Spain
ES917600969;TU VISION LAS ROSAS MARIA SEVILLA DIAGO, 26   Madrid 28022 Spain;TU VISION LAS ROSAS;MARIA SEVILLA DIAGO, 26;;Madrid;28022;Spain
